n,p,q,sigma,gamma.0,delta,M,gamma.step,step.sizes,Minus 2,,,
100,10,3,1,0,1,50,0.05,0.3,0.0662),0,0.292,0.064187226
100,10,3,1,0,1,50,0.05,0.2,0.0593),,,
100,10,3,1,0,1,50,0.05,0.26,0.0592),,,
100,10,3,1,0,1,50,0.05,0.36,0.0665),,,
100,10,3,1,0,1,50,0.05,0.34,0.0795),,,
100,10,3,1,0,3,50,0.05,0.86,0.157),0,0.828,0.054037024
100,10,3,1,0,3,50,0.05,0.82,0.132),,,
100,10,3,1,0,3,50,0.05,0.8,0.175),,,
100,10,3,1,0,3,50,0.05,0.76,0.153),,,
100,10,3,1,0,3,50,0.05,0.9,0.154),,,
100,50,7,1,0,1,50,0.05,0.08,0.0265),0,0.096,0.02607681
100,50,7,1,0,1,50,0.05,0.08,0.0262),,,
100,50,7,1,0,1,50,0.05,0.14,0.0284),,,
100,50,7,1,0,1,50,0.05,0.1,0.0336),,,
100,50,7,1,0,1,50,0.05,0.08,0.0172),,,
100,50,7,1,0,3,50,0.05,0.92,0.22),0,0.936,
100,50,7,1,0,3,50,0.05,0.94,0.267),,,
100,50,7,1,0,3,50,0.05,0.98,0.209),,,
100,50,7,1,0,3,50,0.05,0.94,0.202),,,
100,50,7,1,0,3,50,0.05,0.9,0.22),,,
100,200,14,1,0,1,50,0.05,0.34,0.0926),0,0.404,
100,200,14,1,0,1,50,0.05,0.38,0.127),,,
100,200,14,1,0,1,50,0.05,0.44,0.123),,,
100,200,14,1,0,1,50,0.05,0.42,0.117),,,
100,200,14,1,0,1,50,0.05,0.44,0.118),,,
100,200,14,1,0,3,50,0.05,0.94,0.145),0,0.948,
100,200,14,1,0,3,50,0.05,0.96,0.146),,,
100,200,14,1,0,3,50,0.05,0.94,0.173),,,
100,200,14,1,0,3,50,0.05,0.96,0.175),,,
100,200,14,1,0,3,50,0.05,0.94,0.177),,,
